Drug,Short_Drug,Normal dose,Dose in renal impairment GFR (mL/min)
famciclovir,Famciclovir,"Varicella zoster virus (VZV) infections: 500 mg 3 times a day or 750 mg once or twice daily. (Immunocompromised: 500 mg 3 times a day.)
Herpes simplex virus (HSV) infections (genital herpes):
First HSV episode: 250 mg 3 times a day.
Recurrent HSV: 125 mg twice a day. (Immunocompromised: 500 mg twice a day.)
Suppression of recurrent HSV: 250 mg twice daily. (Immunocompromised: 500 mg twice daily.)","
40–59	VZV (incl immunocompromised): 500 mg twice daily. HSV: Dose as in normal renal function.
20–39  VZV (incl immunocompromised): 500 mg once daily. HSV first episode: 250 mg twice daily; Recurrent: Dose as in normal renal function. (Immunocompromised: 500 mg once daily.) Suppression of recurrent HSV: 125 mg twice daily. (Immunocompromised: 500 mg once daily.)
<20	VZV (incl immunocompromised): 250 mg once daily. HSV first episode: 250 mg once daily. Recurrent HSV: 125 mg once daily. (Immunocompromised: 250 mg once daily.) Suppression of recurrent HSV: 125 mg once daily. (Immunocompromised: 250 mg once daily.)"
famotidine,Famotidine,"20–80 mg daily
Zollinger-Ellison syndrome: 80–800 mg daily in divided doses","20–50	50% of normal dose or increase dose to every 36–48 hours.
10–20    50% of normal dose or increase dose to every 36–48 hours
<10	20 mg at night (maximum or increase dose to every 36–48 hours."
febuxostat,Febuxostat,20–80 mg once daily,"20–50	Dose as in normal renal function.
10–20	Initial dose 20 mg and increase"
felodipine,Felodipine,"Hypertension: 2.5–20 mg once daily
Angina: 2.5–10 mg daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
fenofibrate,Fenofibrate,Depends on preparation,"20–60	134 mg daily.
15–20	67 mg daily.
<15	Avoid."
fenoprofen,Fenoprofen,300–600 mg 3–4 times a day; maximum 3 g daily.,"20–50	Start with low dose, but avoid if possible.
10–20	Start with low dose, but avoid if possible.
<10	Start with low dose, but only use if on dialysis."
fentanyl,Fentanyl,"IV injection:
with spontaneous respiration: 50–200 mcg, then 25–50 mcg as required.
with assisted ventilation: 0.3–3.5 mg, then 100–200 mcg as required.
IV infusion:
with spontaneous respiration: 3–4.8 micrograms/ kg/hour adjusted according to response.
with assisted ventilation: 10 mcg/kg over 10 minutes, then 6 mcg/kg/hour, may require up to 180 mcg/kg/ hr during cardiac surgery.
Topical (chronic pain): Initially 12–25 mcg/hour, patches changed every 72 hours increased according to response.
Oral: varies according to preparation see SPC for more information.
Nasal spray: varies according to preparation see SPC for more information.","
20–50	75% of normal dose. Titrate according to response.	
10–20	75% of normal dose. Titrate according to response.
<10	50% of normal dose. Titrate according to response."
ferric carboxymaltose,Ferric carboxymaltose,Dose calculated according to weight,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
ferrous fumarate,Ferrous fumarate,Dose varies according to preparation,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function.

function."
ferrous gluconate,Ferrous gluconate,"Prophylaxis: 2 tablets daily
Therapeutic: 4–6 tablets daily in divided doses","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
ferrous sulphate,Ferrous sulphate,"150–800 mg carbidopa daily in divided doses after meals
MR: initially 1 tablet twice daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
fesoterodine fumarate,Fesoterodine,4–8 mg once daily,"50–80	Dose as in normal renal function.
30–50	Dose as in normal renal function. See 'Other information'.
<30	4 mg daily. See 'Other information'."
fexofenadine hydrochloride,Fexofenadine,120–180 mg daily depending on condition,"20–50	Dose as in normal renal function. Use with care.
10–20	Dose as in normal renal function. Use with care. See 'Other information'.
<10	Dose as in normal renal function. Use with care. See 'Other information'."
fidaxomicin,Fidaxomicin,"5 mg/kg weekly for 2 weeks then once every 2 weeks.
(See further information for BK polyoma virus treatment)",">55	Dose as in normal renal function.
<55	See 'Other information'."
filgrastim,Filgrastim,0.1–1.2 MU/kg/day according to indication and patient,"20–50	Dose as in normal renal function and titrate dose to response.
10–20	Dose as in normal renal function and titrate dose to response.
<10	Dose as in normal renal function and titrate dose to response."
finasteride,Finasteride,"BPH: 5 mg daily
Male pattern baldness: 1 mg daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
fingolimod,Fingolimod,100 mg twice daily,"20–50	Dose as in normal renal function but use with caution.
10–20	Dose as in normal renal function but avoid if possible.
<10	Dose as in normal renal function but only if on dialysis."
flecainide acetate,Flecainide,"Oral: Supraventricular arrhythmias: 100–300 mg daily in 2 divided doses.
Oral: Ventricular arrhythmias: 200–400 mg daily in 2 divided doses.
IV bolus: 2 mg/kg over 10–30 minutes (maximum 150 mg), then IV infusion of 1.5 mg/kg/hour for 1 hour, subsequently 0.1–0.25 mg/kg/hour; maximum 600 mg in 24 hours.","35–50	Dose as in normal renal function.
10–35	Oral: Initially 100 mg daily (or 50 mg twice daily). IV: Reduce dose by 50%. See ‘Other information’.
<10	Oral: Initially 100 mg daily (or 50 mg twice daily). IV: Reduce dose by 50%. See ‘Other information’."
flucloxacillin,Flucloxacillin,"Oral: 250–500 mg every 6 hours
IV: 250 mg – 2 g every 6 hours
IM: 250–500 mg every 6 hours
Endocarditis: maximum 2 g every 4 hours if >85 kg
Osteomyelitis: maximum 8 g daily in divided doses","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function up to a total daily dose of 4 g."
fluconazole,Fluconazole,"50–400 mg daily, maximum 800 mg daily (unlicensed dose)","20–50	50–100% of normal dose. See 'Other information'.
10–20	50–100% of normal dose. See 'Other information'.
<10	50% of normal dose. See 'Other information'."
flucytosine,Flucytosine,"1–3 mg/kg/day, maximum 5 mg/kg (unlicensed dose) Visceral leishmaniasis: total dose of 21–30 mg/kg given over 10–21 days","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
fludarabine phosphate,Fludarabine,"IV: 25 mg/m2 daily for 5 days, repeated every 28 days Oral: 40 mg/m2 for 5 days every 28 days","30–70	50–75% of normal dose.
10–30	50–75% of normal dose. Use with care.
<10	50% of normal dose. Use with care."
fludrocortisone acetate,Fludrocortisone,50–300 micrograms daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
flumazenil,Flumazenil,"Initially 200 micrograms over 15 seconds, then 100 micrograms at 60 second intervals if required; usual dose range 300–600 micrograms; maximum dose 1 mg, or 2 mg in intensive care situations
If drowsiness recurs, an IV infusion of 100–400 micrograms per hour may be given","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
fluorouracil,Fluorouracil,"Deep IM injection: 1 g daily (not more than 20 mg/kg) for 2–4 months, then 1 g 2–3 times each week","30–50	75% of 1.2g/m2 dose (950 mg/m2 twice daily). Use with care.
10–30	Avoid.
<10	Avoid."
fluoxetine,Fluoxetine,20–60 mg daily depending on indication,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Use low dose, or on alternate days and increase according to response."
flupentixol,Flupentixol,"Psychosis:
Oral: 3–9 mg twice daily, max 18 mg daily
Deep IM: 50 mg 4 weekly to 300 mg 2 weekly;
maximum dose 400 mg weekly; 20–40 mg every 2–4 weeks may be adequate in some patients
Depression: 0.5–3 mg daily (doses above 2 mg should be in 2 divided doses, and 2nd dose should not be after 4 pm)","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Start with quarter to half of the dose and titrate slowly."
fluphenazine decanoate,Fluphenazine,12.5–100 mg every 14–35 days,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Start with a low dose and titrate slowly."
flurbiprofen,Flurbiprofen,"150–200 mg daily in divided doses, increased in acute conditions to 300 mg daily
Dysmenorrhoea: 50–100 mg every 4–6 hours; maximum 300 mg daily","20–50	Dose as in normal renal function, but avoid if possible.
10–20    Dose as in normal renal function, but avoid if possible.
<10	Dose as in normal renal function, but only if on dialysis."
flutamide,Flutamide,250 mg every 8 hours; start 3 days before LHRH agonist,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
fluvastatin,Fluvastatin,"20–80 mg daily in the evening
XL: 80 mg daily","30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function. See 'Other information'.
<10	Dose as in normal renal function. See 'Other information'."
fluvoxamine maleate,Fluvoxamine,"50–300 mg daily (doses over 150 mg in divided doses)
Depression: usual maintenance dose 100 mg daily
Obsessive compulsive disorder: usual maintenance dose 100–300 mg daily","30–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function but titrate slowly."
folic acid,Folic acid,"Deep IM injection: 1 g daily (not more than 20 mg/kg) for 2–4 months, then 1 g 2–3 times each week","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	1 g every 48 hours."
folinic acid (calcium folinate),Folinic acid,Varies according to indication,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
folinic acid (calcium folinate),Calcium folinate,Varies according to indication,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
fondaparinux sodium,Fondaparinux,"Prophylaxis DVT:
Surgical: 2.5 mg 6 hours after surgery, then 2.5 mg daily
Medical: 2.5 mg daily
Treatment of superficial-vein thrombosis: 2.5 mg daily (if weight >50 kg)
Unstable angina and MI: 2.5 mg daily Treatment DVT and PE:
<50 kg: 5 mg daily
50–100 kg: 7.5 mg daily
>100 kg: 10 mg daily","20–50	1.5 mg daily. See 'Other information'.
10–20	Reduce dose. See 'Other information'.
<10	Reduce dose. See 'Other information'."
formoterol fumarate (eformoterol),Formoterol,"1–2 puffs twice daily
Turbohaler: 6–24 mcg 1–2 times daily as a single dose, up to 72 mcg daily may be needed","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
formoterol fumarate (eformoterol),Eformoterol,"1–2 puffs twice daily
Turbohaler: 6–24 mcg 1–2 times daily as a single dose, up to 72 mcg daily may be needed","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
fosamprenavir,Fosamprenavir,700 mg twice daily with ritonavir 100 mg twice daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
fosaprepitant,Fosaprepitant,150 mg 30 minutes before chemotherapy on day 1 of cycle,"20–50	Initial dose 1.2 mg/kg. Use with caution.
10–20	Initial dose 1.2 mg/kg. Use with caution.
<10	Initial dose 1.2 mg/kg. Use with caution."
foscarnet sodium,Foscarnet,"CMV: 60 mg/kg every 8 hours induction dose for 2–3 weeks, then 60 mg/kg daily, increase to 90–120 mg/kg if tolerated
HSI: 40 mg/kg every 8 hours","20–50	28 mg/kg every 8 hours.
10–20	15 mg/kg every 8 hours.
<10	6 mg/kg every 8 hours."
fosfomycin,Fosfomycin,"Oral: 3 g sachet as a stat dose
IV: 12–24 g in 2–3 divided doses depending on indication
Bacterial meningitis: 16–24 g in 3–4 divided doses
Maximum single dose is 8 g","31–40	Oral: Dose as in normal renal function. IV: Normal loading dose for 1st dose. 70% of dose in 2–3 divided doses.
21–30	Oral: Dose as in normal renal function. IV: Normal loading dose for 1st dose. 60% of dose in 2–3 divided doses.
11–20	Oral: dose as in normal renal function. IV: Normal loading dose for 1st dose. 40% of dose in 2–3 divided doses.
<10	Oral: Contraindicated due to prolonged half-life. See 'Other information'. IV: Normal loading dose for 1st dose. 20% of dose in 1–2 divided doses."
fosinopril sodium,Fosinopril,10–40 mg once daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function. Start with low dose.
<10	Dose as in normal renal function. Start with low dose."
fosphenytoin sodium,Fosphenytoin,"Status epilepticus:
Treatment: 20 mg PE/kg (loading dose) by IV infusion
Maintenance: 4–5 mg PE/kg daily in 1–2 divided doses
Prophylaxis or treatment of seizures: 10–15 mg PE/ kg by IV infusion; then convert to phenytoin or 4–5 mg PE/kg daily in 1–2 divided doses","20–50	Reduce dose or rate by 10–25% and monitor carefully (except for status epilepticus).
10–20	Reduce dose or rate by 10–25% and monitor carefully (except for status epilepticus).
<10	Reduce dose or rate by 10–25% and monitor carefully (except for status epilepticus)."
