virkestoff,atckode,varenavn
ulipristal,G03AD02,ellaone
ulipristal,G03AD02,femke
testosteron,G03BA03,taro-testosterone
testosteron,G03BA03,testosteron-depot eifelfango
testosteron,G03BA03,testogel
testosteron,G03BA03,nebido
testosteron,G03BA03,tostran
testosteron,G03BA03,testavan
testosteron,G03BA03,testosteron sa
testosteron,G03BA03,testosteron-depot galen
mesterolon,G03BB01,proviron
etinyløstradiol,G03CA01,ethinyl-oestradiol effik
etinyløstradiol,G03CA01,etinilestradiolo
østradiol,G03CA03,estradot
østradiol,G03CA03,estrogel
østradiol,G03CA03,vagidonna
østradiol,G03CA03,dermestril
østradiol,G03CA03,estramon
østradiol,G03CA03,vivelle dot
østradiol,G03CA03,delestrogen
østradiol,G03CA03,progynova
østradiol,G03CA03,lenzetto
østradiol,G03CA03,divigel
østradiol,G03CA03,vagifem
østradiol,G03CA03,estrofem
østradiol,G03CA03,progynova 21 mite
østradiol,G03CA03,progynova 21
østradiol,G03CA03,estring
østradiol,G03CA03,evorel
østriol,G03CA04,ovesterin
østriol,G03CA04,gelisse
konjugerte østrogener og bazedoksifen,G03CC07,duavive
tibolon,G03CX01,livial
tibolon,G03CX01,tibolon aristo
medroksyprogesteron,G03DA02,provera
progesteron,G03DA04,cyclogest 400
progesteron,G03DA04,utrogestan
progesteron,G03DA04,cyclogest
progesteron,G03DA04,prolutex
progesteron,G03DA04,crinone
progesteron,G03DA04,progesteron sa
progesteron,G03DA04,utrogest
progesteron,G03DA04,lutinus
dydrogesteron,G03DB01,duphaston
dienogest,G03DB08,visanne
noretisteron,G03DC02,primolut n
noretisteron og østrogen,G03FA01,estalis
noretisteron og østrogen,G03FA01,kliogest
noretisteron og østrogen,G03FA01,activelle
noretisteron og østrogen,G03FA01,eviana
noretisteron og østrogen,G03FA01,noresmea
noretisteron og østrogen,G03FA01,kliogest n
noretisteron og østrogen,G03FA01,cliovelle
medroksyprogesteron og østrogen,G03FA12,indivina
dydrogesteron og østrogen,G03FA14,femostonconti
noretisteron og østrogen,G03FB05,novofem
noretisteron og østrogen,G03FB05,trisekvens
noretisteron og østrogen,G03FB05,sequidot
dydrogesteron og østrogen,G03FB08,femoston
koriongonadotropin,G03GA01,brevactid
koriongonadotropin,G03GA01,gonasi set
koriongonadotropin,G03GA01,choriomon
menopausegonadotropin,G03GA02,menopur
menopausegonadotropin,G03GA02,meriofert set
urofollitropin,G03GA04,fostimon set
follitropin alfa,G03GA05,bemfola
follitropin alfa,G03GA05,gonal-f
koriongonadotropin alfa,G03GA08,ovitrelle
korifollitropin alfa,G03GA09,elonva
follitropin delta,G03GA10,rekovelle
kombinasjoner,G03GA30,pergoveris
klomifen,G03GB02,clomifen ferring
klomifen,G03GB02,clomid
klomifen,G03GB02,clomifen-ratiopharm
cyproteron,G03HA01,androcur
cyproteron og østrogen,G03HB01,zyrona
danazol,G03XA01,danatrol
danazol,G03XA01,danol
danazol,G03XA01,danazol polfarmex
mifepriston,G03XB01,mifegyne
ulipristal,G03XB02,esmya
raloksifen,G03XC01,evista
prasteron,G03XX01,intrarosa
surgjørende midler,G04BA,k-phos neutral
oksybutynin,G04BD04,oxybutynin unimedic
oksybutynin,G04BD04,ditropan
oksybutynin,G04BD04,lyrinel xl
oksybutynin,G04BD04,oksybutynin naf
oksybutynin,G04BD04,dridase
oksybutynin,G04BD04,kentera
oksybutynin,G04BD04,oxybutynine biogaran
tolterodin,G04BD07,detrusitol sr
tolterodin,G04BD07,tolterodinetartraat aurobindo sr
tolterodin,G04BD07,tolterodine sandoz
tolterodin,G04BD07,detrusitol
tolterodin,G04BD07,detrusitol xl
tolterodin,G04BD07,defur
tolterodin,G04BD07,tolzurin
tolterodin,G04BD07,tolterodin-aristo
solifenacin,G04BD08,solifenacin mylan
solifenacin,G04BD08,vesicare
solifenacin,G04BD08,solifenacin krka
solifenacin,G04BD08,solifenacin sandoz
solifenacin,G04BD08,solifenacin accord
darifenacin,G04BD10,emselex
fesoterodin,G04BD11,fesoterodin accord
fesoterodin,G04BD11,toviaz
mirabegron,G04BD12,betmiga
alprostadil,G04BE01,caverject dual
alprostadil,G04BE01,bondil
alprostadil,G04BE01,vitaros
alprostadil,G04BE01,caverject dual
alprostadil,G04BE01,caverject
sildenafil,G04BE03,sildenafil actavis
sildenafil,G04BE03,mysildecard
sildenafil,G04BE03,viagra
sildenafil,G04BE03,sildenafil sa
sildenafil,G04BE03,orisild
sildenafil,G04BE03,revatio
sildenafil,G04BE03,viagra reseptfri
sildenafil,G04BE03,granpidam
tadalafil,G04BE08,cialis
tadalafil,G04BE08,tadalafil orion
tadalafil,G04BE08,tadalafil sandoz
tadalafil,G04BE08,tadalafil accord
tadalafil,G04BE08,tadalafil cipla
tadalafil,G04BE08,adcirca
vardenafil,G04BE09,levitra
vardenafil,G04BE09,vardenafil aristo
vardenafil,G04BE09,vardenafil krka
avanafil,G04BE10,spedra
kombinasjoner,G04BE30,invicorp
kombinasjoner,G04BE30,androskat
andre urologiske midler,G04BX,uro-vaxom
andre urologiske midler,G04BX,cystistat
magnesiumhydroksid,G04BX01,emgesan
magnesiumhydroksid,G04BX01,magnesium eql
dimetylsulfoksid,G04BX13,dimetylsulfoksid sa
dapoksetin,G04BX14,priligy
pentosanpolysulfatnatrium,G04BX15,elmiron
tiopronin,G04BX16,thiola
alfuzosin,G04CA01,alfuzosina mepha
alfuzosin,G04CA01,xatral sr
tamsulosin,G04CA02,miktosan
tamsulosin,G04CA02,omnic
tamsulosin,G04CA02,tamsulosin actavis
tamsulosin,G04CA02,tamsulosin mylan
terazosin,G04CA03,sinalfa
terazosin,G04CA03,sinalfa startpakning
terazosin,G04CA03,hytrin
tamsulosin og dutasterid,G04CA52,dutasteride/tamsulosin orion
tamsulosin og dutasterid,G04CA52,duodart
tamsulosin og dutasterid,G04CA52,dutasteride/tamsulosin medical vally
tamsulosin og dutasterid,G04CA52,dutasteride/tamsulosin hexal
tamsulosin og solifenacin,G04CA53,urizia
finasterid,G04CB01,proscar
finasterid,G04CB01,finasterid actavis
finasterid,G04CB01,finamed
dutasterid,G04CB02,avodart
dutasterid,G04CB02,dutasteride medical valley
"hormoner til systemisk bruk, ekskl. kjønnshormoner og insulin",H,adrenal cortex thorne
"hormoner til systemisk bruk, ekskl. kjønnshormoner og insulin",H,adrenal natural glandular
tetrakosaktid,H01AA02,synacthen cd pharmaceuticals
tetrakosaktid,H01AA02,synacthen depot cd pharmaceuticals
tetrakosaktid,H01AA02,synacthen
tyrotropin alfa,H01AB01,thyrogen
somatropin,H01AC01,genotropin
somatropin,H01AC01,saizen
somatropin,H01AC01,norditropin nordiflex
somatropin,H01AC01,omnitrope
mekasermin,H01AC03,increlex
pegvisomant,H01AX01,somavert
vasopressin (argipressin),H01BA01,empressin
desmopressin,H01BA02,octostim
desmopressin,H01BA02,desmogalen
desmopressin,H01BA02,desmopressine-acetaat mylan
desmopressin,H01BA02,minirin
desmopressin,H01BA02,nocdurna
desmopressin,H01BA02,desmopressine-acetaat sandoz
desmopressin,H01BA02,minirin rhinyle
desmopressin,H01BA02,nocutil
terlipressin,H01BA04,glypressin
oksytocin,H01BB02,syntocinon
oksytocin,H01BB02,oxytocin orifarm
oksytocin,H01BB02,oxytocin aurora medical
oksytocin,H01BB02,pitocin
karbetocin,H01BB03,pabal
karbetocin,H01BB03,carbetocin aguettant
nafarelin,H01CA02,synarela
oktreotid,H01CB02,sandostatin
oktreotid,H01CB02,octreoanne
oktreotid,H01CB02,sandostatin lar
oktreotid,H01CB02,octreotid bendalis
lanreotid,H01CB03,myrelez
lanreotid,H01CB03,ipstyl autogel
pasireotid,H01CB05,signifor
ganireliks,H01CC01,ganirelix gedeon richter
ganireliks,H01CC01,fyremadel
ganireliks,H01CC01,ganirelix orifarm
cetroreliks,H01CC02,cetrotide
"relugoliks, østradiol og noretisteron",H01CC54,ryeqo
fludrokortison,H02AA02,florinef
fludrokortison,H02AA02,florinef acetaat
betametason,H02AB01,celestan depot
betametason,H02AB01,celeston chronodose
betametason,H02AB01,betapred
betametason,H02AB01,celestone chronodose
betametason,H02AB01,betamethasone american regent
betametason,H02AB01,bentelan
betametason,H02AB01,betapred sobi
deksametason,H02AB02,dexametason abcur
deksametason,H02AB02,neofordex
deksametason,H02AB02,dexamethasone krka
deksametason,H02AB02,dexamethason galen
deksametason,H02AB02,dexamethason jenapharm
deksametason,H02AB02,dexavit
deksametason,H02AB02,deksametason sa
deksametason,H02AB02,dexacur
deksametason,H02AB02,fortecortin
metylprednisolon,H02AB04,solu-medrol
metylprednisolon,H02AB04,medrol unimedic
metylprednisolon,H02AB04,metylprednisolon aurora medical
metylprednisolon,H02AB04,depo-medrol
metylprednisolon,H02AB04,medrol
metylprednisolon,H02AB04,methylprednisolone orion
prednisolon,H02AB06,prednisolon sa
prednisolon,H02AB06,prednisolone accord
prednisolon,H02AB06,prednisolon alternova
prednisolon,H02AB06,solupred
prednisolon,H02AB06,prednisolone sodium phosphate pai
prednisolon,H02AB06,prednisolon
prednisolon,H02AB06,prednisolone arrow
prednisolon,H02AB06,prednisolon al
prednisolon,H02AB06,prednisolone
prednisolon,H02AB06,solu-decortin h
prednisolon,H02AB06,prednisolone focus
prednisolon,H02AB06,prednisolon eql
prednisolon,H02AB06,prednisolone amdipharm
prednisolon,H02AB06,prednisolon galen
prednisolon,H02AB06,prednisolone mylan
prednisolon,H02AB06,sirodrol
prednisolon,H02AB06,prednisolon jenapharm
prednison,H02AB07,lodotra
prednison,H02AB07,prednison acis
prednison,H02AB07,prednison dak
triamcinolon,H02AB08,hexatrione
triamcinolon,H02AB08,trispan
triamcinolon,H02AB08,triamhexal
triamcinolon,H02AB08,triam winthrop
triamcinolon,H02AB08,kenacort-t
triamcinolon,H02AB08,kenacort-a 10
triamcinolon,H02AB08,trica
triamcinolon,H02AB08,lederspan
triamcinolon,H02AB08,volon
triamcinolon,H02AB08,lederlon
triamcinolon,H02AB08,delphicort
hydrokortison,H02AB09,lilinorm
hydrokortison,H02AB09,efmody
hydrokortison,H02AB09,alkindi
hydrokortison,H02AB09,solu-cortef
hydrokortison,H02AB09,cortef
hydrokortison,H02AB09,hydrokortison takeda
hydrokortison,H02AB09,hydventia
hydrokortison,H02AB09,hydrocortisone accord
hydrokortison,H02AB09,hydrocortisone
hydrokortison,H02AB09,plenadren
hydrokortison,H02AB09,hydrokortison orion
hydrokortison,H02AB09,hydrokortison dak
hydrokortison,H02AB09,hydrokortison
kortison,H02AB10,kortison sa
kortison,H02AB10,cortisonacetat naf
kortison,H02AB10,cortisonacetat glostrup
kortison,H02AB10,cortone acetato
kortison,H02AB10,cortison
deflazakort,H02AB13,deflazacort vital pharma nordic
deflazakort,H02AB13,calcort
"metylprednisolon, kombinasjoner",H02BX01,depo-medrol+lidocaine
osilodrostat,H02CA02,isturisa
ketokonazol,H02CA03,ketoconazole hra
levotyroksinnatrium,H03AA01,l-thyroxine
levotyroksinnatrium,H03AA01,levaxin
levotyroksinnatrium,H03AA01,tirosintsol
levotyroksinnatrium,H03AA01,l-thyroxine 2care4
levotyroksinnatrium,H03AA01,euthyrox
levotyroksinnatrium,H03AA01,l-thyrox hexal
levotyroksinnatrium,H03AA01,l-thyroxin-na ratiopharm
levotyroksinnatrium,H03AA01,l-thyroxin henning
liotyroninnatrium,H03AA02,liothyronin
liotyroninnatrium,H03AA02,thybon
liotyroninnatrium,H03AA02,liothyronin glostrup
liotyroninnatrium,H03AA02,cytomel
liotyroninnatrium,H03AA02,thyrotardin
levotyroksin og liotyronin i kombinasjoner,H03AA03,novothyral 100
thyreoidea-kjertel midler,H03AA05,nature-throid
thyreoidea-kjertel midler,H03AA05,armour thyroid
thyreoidea-kjertel midler,H03AA05,thyroid naf
thyreoidea-kjertel midler,H03AA05,thyreoid glostrup
thyreoidea-kjertel midler,H03AA05,wp thyroid
thyreoidea-kjertel midler,H03AA05,thyroid erfa
propyltiouracil,H03BA02,propyltiouracil naf
karbimazol,H03BB01,neo-mercazole
karbimazol,H03BB01,carbimazol
perklorater,H03BC,natriumperklorat sa
perklorater,H03BC,irenat
jodterapi,H03CA,lugols joddråper sa
glukagon,H04AA01,glucagon novo nordisk
glukagon,H04AA01,ogluo
glukagon,H04AA01,baqsimi
teriparatid,H05AA02,movymia
teriparatid,H05AA02,movymia start
teriparatid,H05AA02,terrosa start
teriparatid,H05AA02,sondelbay
teriparatid,H05AA02,terrosa
teriparatid,H05AA02,forsteo
parathyreoideahormon,H05AA03,natpar
"laksekalsitonin, syntetisk",H05BA01,calcitonin essential
"laksekalsitonin, syntetisk",H05BA01,miacalcic
"laksekalsitonin, syntetisk",H05BA01,laksekalsitonin aurora medical
cinakalset,H05BX01,cinacalcet stada
cinakalset,H05BX01,cinacalcet mylan
cinakalset,H05BX01,cinacalcet accordpharma
cinakalset,H05BX01,cinacalcet accord
cinakalset,H05BX01,mimpara
cinakalset,H05BX01,cinacalcet aristo
cinakalset,H05BX01,cinacalcet accordpharma
parikalsitol,H05BX02,paricalcitol alternova
etelkalsetid,H05BX04,parsabiv
doksysyklin,J01AA02,oracea
doksysyklin,J01AA02,doxycyclin ratiopharm
doksysyklin,J01AA02,vibramycin
doksysyklin,J01AA02,doxylin
doksysyklin,J01AA02,vibranord
doksysyklin,J01AA02,doksycyklin hexal
doksysyklin,J01AA02,doxycyclin al
doksysyklin,J01AA02,doxyferm
lymesyklin,J01AA04,lymecyclin actavis
lymesyklin,J01AA04,tetralysal
oksytetrasyklin,J01AA06,oxytetracycline
tetrasyklin,J01AA07,tetracycline
tetrasyklin,J01AA07,tetracyclin actavis
minosyklin,J01AA08,minocyclin ratiopharm
minosyklin,J01AA08,minocyclin aurobindo
minosyklin,J01AA08,minocin
tigesyklin,J01AA12,tygacil
kloramfenikol,J01BA01,chloramphenicol vuab
kloramfenikol,J01BA01,chloranic
ampicillin,J01CA01,ampicillin-ratiopharm
ampicillin,J01CA01,ampicillin vm stada sa
ampicillin,J01CA01,ampicillin fresenius kabi
ampicillin,J01CA01,ampicillin stada
ampicillin,J01CA01,ampicillin pcd
amoksicillin,J01CA04,infectomox
amoksicillin,J01CA04,amoxicillin
amoksicillin,J01CA04,imaxi
amoksicillin,J01CA04,amoxicilline teva
amoksicillin,J01CA04,amoxicilline eg
amoksicillin,J01CA04,amoxicillin mylan
amoksicillin,J01CA04,amoxicillin micro
amoksicillin,J01CA04,amoxicillin sandoz
amoksicillin,J01CA04,amotaks
amoksicillin,J01CA04,amoxicilline sandoz
amoksicillin,J01CA04,amoxicillin aliud
pivmecillinam,J01CA08,selexid
pivmecillinam,J01CA08,penomax
mecillinam,J01CA11,selexid
benzylpenicillin,J01CE01,benzylpenicillin vm panpharma sa
benzylpenicillin,J01CE01,benzylpenicillin panpharma
fenoksymetylpenicillin,J01CE02,pancillin
fenoksymetylpenicillin,J01CE02,apocillin
fenoksymetylpenicillin,J01CE02,weifapenin
fenoksymetylpenicillin,J01CE02,primcillin
fenoksymetylpenicillin,J01CE02,phenoxymethylpenicillin eql
fenoksymetylpenicillin,J01CE02,phenoxymethylpenicillin crescent
fenoksymetylpenicillin,J01CE02,fenoxymethylpenicilline centrafarm
fenoksymetylpenicillin,J01CE02,infectocillin 400
benzatinbenzylpenicillin,J01CE08,benzetacil
benzatinbenzylpenicillin,J01CE08,tardocillin 1200
benzatinbenzylpenicillin,J01CE08,tardocillin 1200 unimedic
benzatinbenzylpenicillin,J01CE08,tardocillin 1200 macure
dikloksacillin,J01CF01,dicloxacillin bluefish
dikloksacillin,J01CF01,dicloxacillin alternova
dikloksacillin,J01CF01,dicloxacillin orion
kloksacillin,J01CF02,cloxacillin vm navamedic sa
kloksacillin,J01CF02,cloxacillin navamedic
kloksacillin,J01CF02,cloxacillin stragen
flukloksacillin,J01CF05,heracillin
flukloksacillin,J01CF05,staphycid
flukloksacillin,J01CF05,flucloxacilline mylan
flukloksacillin,J01CF05,flucloxacillin altamedics
ampicillin og beta-laktamasehemmer,J01CR01,ampicillin plus sulbactam eberth
amoksicillin og beta-laktamasehemmer,J01CR02,augmentin
amoksicillin og beta-laktamasehemmer,J01CR02,amoxicilline/clavulaanzuur pch
amoksicillin og beta-laktamasehemmer,J01CR02,amoxiclav ct
amoksicillin og beta-laktamasehemmer,J01CR02,amoxicilline/clavulaanzuur sandoz
amoksicillin og beta-laktamasehemmer,J01CR02,augmentin mff
amoksicillin og beta-laktamasehemmer,J01CR02,spektramox
amoksicillin og beta-laktamasehemmer,J01CR02,amoxicillin comp ratiopharm
amoksicillin og beta-laktamasehemmer,J01CR02,amoclav
amoksicillin og beta-laktamasehemmer,J01CR02,amoxiclav hikma
piperacillin og beta-laktamasehemmer,J01CR05,pip/taz vm fresenius sa
piperacillin og beta-laktamasehemmer,J01CR05,piperacillin/tazobactam stragen
piperacillin og beta-laktamasehemmer,J01CR05,piperacillin/tazobactam fresenius kabi
cefaleksin,J01DB01,keflex
cefalotin,J01DB03,cefalotin navamedic
cefalotin,J01DB03,cefalotin vm navamedic sa
cefalotin,J01DB03,cefalotin vm vill sa
cefazolin,J01DB04,cefazolin mip
cefazolin,J01DB04,cefazolin hexal
cefuroksim,J01DC02,cefuroxim stada
cefuroksim,J01DC02,cefuroxim navamedic
cefuroksim,J01DC02,cefuroxim stragen
cefuroksim,J01DC02,zinacef
cefuroksim,J01DC02,cefuroxim mip
cefuroksim,J01DC02,cefuroxim 1a pharma
cefuroksim,J01DC02,cefuroxim-ratiopharm
cefuroksim,J01DC02,cefuroxim b. braun
cefuroksim,J01DC02,cefuroxim fresenius kabi
cefotaksim,J01DD01,cefotaxim navamedic
cefotaksim,J01DD01,cefotaxim mip
cefotaksim,J01DD01,cefotaxim vm navamedic sa
ceftazidim,J01DD02,ceftazidim fresenius kabi
ceftazidim,J01DD02,ceftazidim mip
ceftriakson,J01DD04,ceftriaxon stragen
ceftriakson,J01DD04,ceftriaxon fresenius kabi
ceftriakson,J01DD04,ceftriaxon navamedic
ceftriakson,J01DD04,ceftriaxon mip
cefiksim,J01DD08,cefixime dr reddys
ceftazidim og beta-laktamasehemmer,J01DD52,zavicefta
cefepim,J01DE01,cefepim mip
aztreonam,J01DF01,azactam
aztreonam,J01DF01,cayston
meropenem,J01DH02,meropenem bradex
meropenem,J01DH02,meropenem sun
meropenem,J01DH02,meropenem vm sun sa
meropenem,J01DH02,meropenem fresenius kabi
ertapenem,J01DH03,invanz
imipenem og cilastatin,J01DH51,tienam
imipenem og cilastatin,J01DH51,andatin
meropenem og vaborbaktam,J01DH52,vabomere
"imipenem, cilastatin og relebaktam",J01DH56,recarbrio
ceftobiprolmedokaril,J01DI01,zevtera
ceftarolin fosamil,J01DI02,zinforo
cefiderokol,J01DI04,fetroja
cefiderokol,J01DI04,fetcroja
ceftolozan og beta-laktamasehemmer,J01DI54,zerbaxa
trimetoprim,J01EA01,infectotrimet
trimetoprim,J01EA01,trimopan
trimetoprim,J01EA01,trimetoprim
sulfadiazin,J01EC02,sulfadiazine wockhardt
sulfametoksazol og trimetoprim,J01EE01,trimesolphar
sulfametoksazol og trimetoprim,J01EE01,eusaprim
sulfametoksazol og trimetoprim,J01EE01,bactrim
sulfametoksazol og trimetoprim,J01EE01,bactrimel
erytromycin,J01FA01,abboticin
erytromycin,J01FA01,ery-max
erytromycin,J01FA01,erythromycin panpharma
erytromycin,J01FA01,erythrocine
spiramycin,J01FA02,rovamycin
roksitromycin,J01FA06,roxithromycin
klaritromycin,J01FA09,clarithromycin teva
klaritromycin,J01FA09,klacid
klaritromycin,J01FA09,clarithromycin
klaritromycin,J01FA09,klacid od
klaritromycin,J01FA09,clarithromycin accord
azitromycin,J01FA10,azitromax
azitromycin,J01FA10,azitromicina qualigen
azitromycin,J01FA10,amzolynic
azitromycin,J01FA10,azithromycin hexal
azitromycin,J01FA10,zithromax
azitromycin,J01FA10,zitromax
telitromycin,J01FA15,ketek
klindamycin,J01FF01,clindamycin
klindamycin,J01FF01,clindamycin navamedic
klindamycin,J01FF01,dalacin
klindamycin,J01FF01,dalacin c
klindamycin,J01FF01,sobelin
pristinamycin,J01FG01,pyostacine
streptomycin,J01GA01,streptomycin x-gen
tobramycin,J01GB01,tobi
tobramycin,J01GB01,tobramycin b. braun
tobramycin,J01GB01,tobi podhaler
tobramycin,J01GB01,nebcina
tobramycin,J01GB01,bramitob
tobramycin,J01GB01,tobi podhaler
gentamicin,J01GB03,septopal-10er-kette specific
gentamicin,J01GB03,gentamicin paediatric
gentamicin,J01GB03,septopal-30er-kette specific
gentamicin,J01GB03,gentamicin b. braun
gentamicin,J01GB03,gensumycin
gentamicin,J01GB03,gentamicin sa
gentamicin,J01GB03,septopal-20er-minikette specific
amikacin,J01GB06,amikacin braun
amikacin,J01GB06,arikayce liposomal
amikacin,J01GB06,amikacin macure
ofloksacin,J01MA01,ofloxacin-ratiopharm
ciprofloksacin,J01MA02,ciprofloxacin navamedic
ciprofloksacin,J01MA02,ciprofloxacin actavis
ciprofloksacin,J01MA02,ciproxin
levofloksacin,J01MA12,levofloxacin hameln
levofloksacin,J01MA12,levofloxacin
levofloksacin,J01MA12,quinsair
levofloksacin,J01MA12,tavanic
moksifloksacin,J01MA14,moxifloxacin aurovitas
moksifloksacin,J01MA14,moxifloxacin orion
moksifloksacin,J01MA14,avelox
moksifloksacin,J01MA14,moxifloxacin sandoz
vankomycin,J01XA01,vancomycin mip
teikoplanin,J01XA02,targocid
dalbavancin,J01XA04,xydalba
kolistin,J01XB01,promixin
kolistin,J01XB01,colobreathe
fusidinsyre,J01XC01,fucidine
metronidazol,J01XD01,metronidazol baxter viaflo
metronidazol,J01XD01,metronidazole braun
nitrofurantoin,J01XE01,furadantin
nitrofurantoin,J01XE01,nifurantin
nitrofurantoin,J01XE01,nitrofurantoine apotex
nitrofurantoin,J01XE01,furadantine
nitrofurantoin,J01XE01,furantoina ern
fosfomycin,J01XX01,fosfomycin infectopharm
fosfomycin,J01XX01,monuril
metenamin,J01XX05,hiprex
metenamin,J01XX05,methenamine hippurate eql pharma
linezolid,J01XX08,linezolid krka
linezolid,J01XX08,linezolid fresenius kabi
linezolid,J01XX08,linezolid sandoz
linezolid,J01XX08,linezolid accord
linezolid,J01XX08,zyvoxid
daptomycin,J01XX09,daptomycin accordpharma
daptomycin,J01XX09,cubicin
tedizolid,J01XX11,sivextro
amfotericin b,J02AA01,ambisome liposomal
flukonazol,J02AC01,diflucan
flukonazol,J02AC01,fluconazol krka
flukonazol,J02AC01,fluconazol b. braun
itrakonazol,J02AC02,sporanox
vorikonazol,J02AC03,vfend
vorikonazol,J02AC03,voriconazole fresenius kabi
vorikonazol,J02AC03,voriconazole accord
vorikonazol,J02AC03,voriconazole sandoz
posakonazol,J02AC04,noxafil
posakonazol,J02AC04,posaconazole accord
posakonazol,J02AC04,posaconazole mylan
posakonazol,J02AC04,posaconazole ahcl
isavukonazol,J02AC05,cresemba
flucytosin,J02AX01,ancotil
kaspofungin,J02AX04,cancidas
kaspofungin,J02AX04,caspofungin lorien
